block_number;t_start;t_end;zeros_count
1;1000000000000;1000010000000;75921210
2;1000010000000;1000020000000;75895942
3;1000020000000;1000030000000;75923066
4;1000030000000;1000040000000;75956260
5;1000040000000;1000050000000;75927340
6;1000050000000;1000060000000;75912826
7;1000060000000;1000070000000;75934264
8;1000070000000;1000080000000;75938183
9;1000080000000;1000090000000;75923087
10;1000090000000;1000100000000;75956002
11;1000100000000;1000110000000;75926603
12;1000110000000;1000120000000;75963837
13;1000120000000;1000130000000;75944025
14;1000130000000;1000140000000;75933377
15;1000140000000;1000150000000;75956360
16;1000150000000;1000160000000;75977061
17;1000160000000;1000170000000;75918107
18;1000170000000;1000180000000;75970717
19;1000180000000;1000190000000;75941863
20;1000190000000;1000200000000;75922907
21;1000200000000;1000210000000;75958311
22;1000210000000;1000220000000;75965444
23;1000220000000;1000230000000;75957369
24;1000230000000;1000240000000;75929707
25;1000240000000;1000250000000;75965045
26;1000250000000;1000260000000;75951850
27;1000260000000;1000270000000;75918778
28;1000270000000;1000280000000;75966232
29;1000280000000;1000290000000;75950623
30;1000290000000;1000300000000;75965453
32;1000310000000;1000320000000;75950968
33;1000320000000;1000330000000;75981316
34;1000330000000;1000340000000;75951520
35;1000340000000;1000350000000;75904111
1;1000000000000;1000050000000;492015824
2;1000050000000;1000100000000;492018755
3;1000100000000;1000150000000;492121827
4;1000150000000;1000200000000;492068678
5;1000200000000;1000250000000;492154613
6;1000250000000;1000300000000;492084847
7;1000300000000;1000350000000;492066272
8;1000350000000;1000400000000;492091017
9;1000400000000;1000450000000;492023060
10;1000450000000;1000500000000;492031666
11;1000500000000;1000550000000;492015746
12;1000550000000;1000600000000;491976149
13;1000600000000;1000650000000;492019007
14;1000650000000;1000700000000;492024535
15;1000700000000;1000750000000;492023651
16;1000750000000;1000800000000;491979942
17;1000800000000;1000850000000;492053427
18;1000850000000;1000900000000;492111886
19;1000900000000;1000950000000;492058201
20;1000950000000;1001000000000;492156748
21;1001000000000;1001050000000;492188462
22;1001050000000;1001100000000;492113673
