block_number;t_start;t_end;zeros_count
1;1000000000000;1000050000000;492015824
2;1000050000000;1000100000000;492018755
1;1000000000000;1000010000000;98495508
2;1000010000000;1000020000000;98434774
3;1000020000000;1000030000000;98472723
5;1000040000000;1000050000000;98484954
6;1000050000000;1000060000000;98464173
8;1000070000000;1000080000000;98484481
9;1000080000000;1000090000000;98467178
10;1000090000000;1000100000000;98503164
11;1000100000000;1000110000000;98462369
12;1000110000000;1000120000000;98524704
13;1000120000000;1000130000000;98508617
14;1000130000000;1000140000000;98494017
15;1000140000000;1000150000000;98528066
16;1000150000000;1000160000000;98523434
17;1000160000000;1000170000000;98486794
18;1000170000000;1000180000000;98523241
19;1000180000000;1000190000000;98470683
20;1000190000000;1000200000000;98467990
21;1000200000000;1000210000000;98489313
22;1000210000000;1000220000000;98541837
23;1000220000000;1000230000000;98484011
24;1000230000000;1000240000000;98487131
25;1000240000000;1000250000000;98550084
26;1000250000000;1000260000000;98489779
27;1000260000000;1000270000000;98458681
28;1000270000000;1000280000000;98496362
29;1000280000000;1000290000000;98517424
30;1000290000000;1000300000000;98522855
31;1000300000000;1000310000000;98493637
32;1000310000000;1000320000000;98493857
33;1000320000000;1000330000000;98536547
34;1000330000000;1000340000000;98493388
35;1000340000000;1000350000000;98457194
36;1000350000000;1000360000000;98513866
37;1000360000000;1000370000000;98509340
38;1000370000000;1000380000000;98470297
39;1000380000000;1000390000000;98494404
1;1000000000000;1000010000000;98495508
2;1000010000000;1000020000000;98434774
1;1000000000000;1000010000000;98495508
